Rk,Player,Tm,2018-19,2019-20,2020-21
194,Brandon Ingram\ingrabr01,LAL,$5757120,$7265485,
195,Anthony Tolliver\tollian01,MIN,$5750000,,
196,Kristaps Porzingis\porzikr01,NYK,$5697054,,
197,Deron Williams\willide01,BRK,$5474787,$5474787,
198,Ben McLemore\mclembe01,SAC,$5460000,,
199,Alex Abrines\abrinal01,OKC,$5455236,,
200,Patrick Patterson\pattepa01,OKC,$5451600,$5711200,
201,Jason Smith\smithja02,WAS,$5450000,,
202,De'Aaron Fox\foxde01,SAC,$5407920,$6392760,$8099627
203,Marcus Morris\morrima03,BOS,$5375000,,
204,Trae Young\youngtr01,ATL,$5356440,$6273000,$6571800
205,Dwight Howard\howardw01,WAS,$5337000,$5603850,
206,DeMarcus Cousins\couside01,GSW,$5337000,,
207,Josh Smith\smithjo03,DET,$5331729,$5331729,
208,Alexis Ajinca\ajincal01,NOP,$5285394,,
209,Thabo Sefolosha\sefolth01,UTA,$5250000,,
210,Aron Baynes\baynear01,BOS,$5193600,$5453280,
211,Jaylen Brown\brownja02,BOS,$5169960,$6534829,
212,Patrick Beverley\beverpa01,LAC,$5027028,,
213,Tony Parker\parketo01,CHO,$5000000,$5000000,
214,Mike Muscala\muscami01,PHI,$5000000,,
215,Dirk Nowitzki\nowitdi01,DAL,$5000000,,
216,Jonathan Isaac\isaacjo01,ORL,$4969080,$5806440,$7362566
217,Mohamed Bamba\bambamo01,ORL,$4865040,$5697600,$5969040
218,Willie Cauley-Stein\caulewi01,SAC,$4696875,,
219,Dragan Bender\bendedr01,PHO,$4661280,$5896519,
220,Ron Baker\bakerro01,NYK,$4544400,,
221,Lauri Markkanen\markkla01,CHI,$4536120,$5300400,$6731508
222,Lance Stephenson\stephla01,LAL,$4449000,,
223,Kyle O'Quinn\oquinky01,IND,$4449000,,
224,Wendell Carter\cartewe01,CHI,$4441200,$5201400,$5448840
225,Ed Davis\davised01,BRK,$4400000,,
226,Justin Holiday\holidju01,CHI,$4384616,,
227,Alex Len\lenal01,ATL,$4350000,$4160000,
228,Mike Scott\scottmi01,LAC,$4320500,,
229,Luc Mbah a Moute\mbahalu01,LAC,$4320500,,
230,Emmanuel Mudiay\mudiaem01,NYK,$4294480,,
231,Kris Dunn\dunnkr01,CHI,$4221000,$5348007,
232,Frank Ntilikina\ntilila01,NYK,$4155720,$4855800,$6176578
233,Glenn Robinson\robingl02,DET,$4150000,$4150000,
234,Collin Sexton\sextoco01,CLE,$4068600,$4764960,$4991880
235,Al Jefferson\jeffeal01,IND,$4000000,,
236,Stanley Johnson\johnsst04,DET,$3940402,,
237,Buddy Hield\hieldbu01,SAC,$3833760,$4861208,
238,Dennis Smith\smithde03,DAL,$3819960,$4463640,$5686677
239,Kevin Knox\knoxke01,NYK,$3739920,$4380120,$4588680
240,J.J. Barea\bareajo01,DAL,$3710850,,
241,Nene Hilario\hilarne01,HOU,$3651480,$3825360,
242,Zach Collins\colliza01,POR,$3628920,$4240200,$5406255
243,Frank Kaminsky\kaminfr01,CHO,$3627842,,
244,Mikal Bridges\bridgmi01,PHO,$3552960,$4161000,$4359000
245,Mirza Teletovic\teletmi01,MIL,$3500000,$3500000,$3500000
246,Michael Beasley\beaslmi01,LAL,$3500000,,
247,Jamal Murray\murraja01,DEN,$3499800,$4444746,
248,Jodie Meeks\meeksjo01,WAS,$3454500,,
249,Justise Winslow\winslju01,MIA,$3448926,,
250,Malik Monk\monkma01,CHO,$3447480,$4028400,$5345687
251,Myles Turner\turnemy01,IND,$3410284,,
252,Brook Lopez\lopezbr01,MIL,$3382000,,
253,Shai Gilgeous-Alexander\gilgesh01,LAC,$3375360,$3952920,$4141320
254,Trey Lyles\lylestr01,DEN,$3364249,,
255,Ekpe Udoh\udohek01,UTA,$3360000,,
256,Devin Booker\bookede01,PHO,$3314365,$27250000,$29430000
257,Luke Kennard\kennalu01,DET,$3275280,$3827160,$5273826
258,Cameron Payne\payneca01,CHI,$3263295,,
259,Troy Daniels\danietr01,PHO,$3258540,,
260,Kelly Oubre\oubreke01,WAS,$3208630,,
261,Miles Bridges\bridgmi02,CHO,$3206640,$3755400,$3934320
262,Marquese Chriss\chrisma01,HOU,$3206160,$4078236,
263,Tomas Satoransky\satorto01,WAS,$3129187,,
264,Bryn Forbes\forbebr01,SAS,$3125000,$2875000,
265,Donovan Mitchell\mitchdo01,UTA,$3111480,$3635760,$5195501
266,Terry Rozier\roziete01,BOS,$3050390,,
267,Jerome Robinson\robinje01,LAC,$3046200,$3567720,$3737520
268,Yogi Ferrell\ferreyo01,SAC,$3000000,$3150000,
269,Elfrid Payton\paytoel01,NOP,$3000000,,
270,Bam Adebayo\adebaba01,MIA,$2955840,$3454080,$5115492
271,Jakob Poeltl\poeltja01,SAS,$2947320,$3754886,
272,Michael Porter\portemi01,DEN,$2894160,$3389400,$3550800
273,Andrew Nicholson\nichoan01,POR,$2844429,$2844429,$2844429
274,Justin Jackson\jacksju01,SAC,$2807880,$3280920,$5029650
275,Thon Maker\makerth01,MIL,$2799720,$3569643,
276,Seth Curry\curryse01,POR,$2795000,,
277,Cedi Osman\osmande01,CLE,$2775000,$2907143,
278,Sam Dekker\dekkesa01,CLE,$2760095,,
279,Troy Brown\browntr01,WAS,$2749080,$3219480,$3372840
280,Justin Patton\pattoju01,MIN,$2667600,$3117240,$4781846
281,Guerschon Yabusele\yabusgu01,BOS,$2667600,$3117240,$4781846
282,Domantas Sabonis\sabondo01,IND,$2659800,$3529555,
283,Jerian Grant\grantje02,ORL,$2639314,,
284,Zhaire Smith\smithzh01,PHI,$2611800,$3058800,$3204600
285,Delon Wright\wrighde01,TOR,$2536898,,
286,D.J. Wilson\wilsodj01,MIL,$2534280,$2961120,$4548280
287,Dario Saric\saricda01,PHI,$2526840,$3481986,
288,Taurean Waller-Prince\princta02,ATL,$2526840,$3481986,
289,Justin Anderson\anderju01,ATL,$2516048,,
290,Manu Ginobili\ginobma01,SAS,$2500000,,
291,Dante Cunningham\cunnida01,SAS,$2500000,,
292,Reggie Bullock\bullore01,DET,$2500000,,
293,Bobby Portis\portibo01,CHI,$2494346,,
294,Donte DiVincenzo\divindo01,MIL,$2481000,$2905800,$3044160
295,Rondae Hollis-Jefferson\holliro01,BRK,$2470357,,
296,Emeka Okafor\okafoem01,NOP,$2445085,,
297,Tyus Jones\jonesty01,MIN,$2444053,,
298,Jarell Martin\martija01,ORL,$2416222,,
299,T.J. Leaf\leaftj01,IND,$2407560,$2813280,$4326825
300,Jeff Green\greenje02,WAS,$2393887,,
301,Amir Johnson\johnsam01,PHI,$2393887,,
302,Raymond Felton\feltora01,OKC,$2393887,,
303,Derrick Rose\rosede01,MIN,$2393887,,
304,Udonis Haslem\hasleud01,MIA,$2393887,,
305,JaVale McGee\mcgeeja01,LAL,$2393887,,
306,Gerald Green\greenge01,HOU,$2393887,,
307,Carmelo Anthony\anthoca01,HOU,$2393887,,
308,Jose Calderon\caldejo01,DET,$2393887,,
309,Zaza Pachulia\pachuza01,DET,$2393887,,
310,Devin Harris\harride01,DAL,$2393887,,
311,Channing Frye\fryech01,CLE,$2393887,,
312,Vince Carter\cartevi01,ATL,$2393887,,
313,Lonnie Walker\walkelo01,SAS,$2357160,$2760480,$2892000
314,Jamal Crawford\crawfja01,ATL,$2304226,,
315,John Collins\collijo01,ATL,$2299080,$2686560,$4137302
316,Denzel Valentine\valende01,CHI,$2280600,$3377569,
317,Larry Nance\nancela02,CLE,$2272391,,
318,Kevin Huerter\huertke01,ATL,$2250960,$2636280,$2761920
319,Monta Ellis\ellismo01,IND,$2245400,$2245400,$2245400
320,Harry Giles\gilesha01,SAC,$2207040,$2578800,$3976510
321,Darius Miller\milleda01,NOP,$2205000,,
322,Greg Monroe\monrogr01,TOR,$2200000,,
323,Juan Hernangomez\hernaju01,DEN,$2166360,$3321030,
324,Jonas Jerebko\jerebjo01,GSW,$2165481,,
325,Josh Okogie\okogijo01,MIN,$2160720,$2530680,$2651040
326,Raul Neto\netora01,UTA,$2150000,$2150000,
327,Matt Barnes\barnema02,SAC,$2133542,$2133541,
328,Terrance Ferguson\fergute01,OKC,$2118840,$2475840,$3944013
329,Omri Casspi\casspom01,MEM,$2116955,,
330,Grayson Allen\allengr01,UTA,$2074320,$2429400,$2545320
331,Jarrett Allen\allenja01,BRK,$2034120,$2376840,$3909902
332,Shelvin Mack\macksh01,MEM,$2029463,,
333,Isaiah Thomas\thomais02,DEN,$2029463,,
334,Spencer Hawes\hawessp01,MIL,$2007058,$2007058,
335,Georgios Papagiannis\papagge01,SAC,$2000400,,
336,Torrey Craig\craigto01,DEN,$2000000,$2100000,
337,Chandler Hutchison\hutchch01,CHI,$1991520,$2332320,$2443440
338,OG Anunoby\anunoog01,TOR,$1952760,$2281800,$3872215
339,Ante Zizic\zizican01,CLE,$1952760,$2281800,$3872215
340,Shabazz Napier\napiesh01,BRK,$1942422,$1845301,
341,Tyler Zeller\zellety01,MIL,$1933941,,
342,Anderson Varejao\varejan01,POR,$1913345,$1913345,$1913345
343,Aaron Holiday\holidaa01,IND,$1911960,$2239200,$2345640
344,Tim Duncan\duncati01,SAS,$1881250,,
345,Tyler Lydon\lydonty01,DEN,$1874640,$2190720,
346,Larry Sanders\sandela01,MIL,$1865547,$1865547,$1865547
347,Henry Ellenson\ellenhe01,DET,$1857480,$2856804,
348,Anfernee Simons\simonan01,POR,$1835520,$2149560,$2252040
349,Trey Burke\burketr01,NYK,$1795015,,
350,Malik Beasley\beaslma01,DEN,$1773840,$2731714,
351,Moritz Wagner\wagnemo01,LAL,$1762080,$2063520,$3893618
352,Nerlens Noel\noelne01,OKC,$1757429,$1988119,
353,Michael Carter-Williams\cartemi01,HOU,$1757429,,
354,Caleb Swanigan\swanica01,POR,$1740000,$2033160,$3665787
355,Furkan Korkmaz\korkmfu01,PHI,$1740000,$2033160,$3665787
356,Ian Clark\clarkia01,NOP,$1709538,,
357,Landry Shamet\shamela01,PHI,$1703640,$1995120,$2090040
358,Caris LeVert\leverca01,BRK,$1702800,$2625718,
359,Jonah Bolden\boldejo01,PHI,$1690000,$1698450,$1766550
360,Kyle Kuzma\kuzmaky01,LAL,$1689840,$1974600,$3562178
361,Tony Bradley\bradlto01,UTA,$1679520,$1962360,$3542060
362,Derrick White\whitede01,SAS,$1667160,$1948080,$3516284
363,MarShon Brooks\brookma01,MEM,$1656092,,
364,Spencer Dinwiddie\dinwisp01,BRK,$1656092,,
365,Josh Hart\hartjo01,LAL,$1655160,$1934160,$3491159
366,Robert Williams\williro04,BOS,$1654440,$1937520,$2029920
367,Jacob Evans\evansja02,GSW,$1644240,$1925880,$2017320
368,Pat Connaughton\connapa01,MIL,$1641000,$1719000,
369,DeAndre' Bembry\bembrde01,ATL,$1634640,$2603982,
370,Dzanan Musa\musadz01,BRK,$1632240,$1911600,$2002800
371,Nik Stauskas\stausni01,POR,$1621415,,
372,James Ennis\ennisja01,HOU,$1621415,$1845301,
373,Lorenzo Brown\brownlo01,TOR,$1621415,,
374,Noah Vonleh\vonleno01,NYK,$1621415,,
375,Darius Morris\morrida01,NOP,$1621415,$1845301,
376,Omari Spellman\spellom01,ATL,$1620480,$1897800,$1988280
377,Luke Kornet\kornelu01,NYK,$1619000,,
378,Rodions Kurucs\kurucro01,BRK,$1618320,$1699236,$1780152
379,Richaun Holmes\holmeri01,PHO,$1600520,,
380,T.J. McConnell\mccontj01,PHI,$1600520,,
381,Malachi Richardson\richama01,TOR,$1569360,$2581597,
382,Kevon Looney\looneke01,GSW,$1567007,,
383,Salah Mejri\mejrisa01,DAL,$1567007,,
384,Jahlil Okafor\okafoja01,NOP,$1567007,$1702486,
385,Pascal Siakam\siakapa01,TOR,$1544951,$2351839,
386,Dejounte Murray\murrade01,SAS,$1544951,$2321735,
387,Skal Labissiere\labissk01,SAC,$1544951,$2338847,
388,Deyonta Davis\davisde01,SAC,$1544951,,
389,Jake Layman\laymaja01,POR,$1544951,,
390,Wade Baldwin\baldwwa01,POR,$1544951,,
391,Timothe Luwawu-Cabarrot\luwawti01,OKC,$1544951,$2529684,
392,Cheick Diallo\diallch01,NOP,$1544951,,
393,Malcolm Brogdon\brogdma01,MIL,$1544951,,
394,Rodney McGruder\mcgruro01,MIA,$1544951,,
395,Wayne Selden\seldewa01,MEM,$1544951,,
396,Ivica Zubac\zubaciv01,LAL,$1544951,,
397,Damian Jones\jonesda03,GSW,$1544951,$2305057,
398,Quinn Cook\cookqu01,GSW,$1544951,,
399,Chinanu Onuaku\onuakch01,DAL,$1544951,,
400,Dorian Finney-Smith\finnedo01,DAL,$1544951,,
401,Willy Hernangomez\hernawi01,CHO,$1544951,$1701735,
402,Andrew Harrison\harrian01,MEM,$1544951,,
403,Georges Niang\niangge01,UTA,$1512601,$1645357,$1783557
404,Derrick Jones\jonesde02,MIA,$1512601,$1645357,
405,Treveon Graham\grahatr01,BRK,$1512601,$1645357,
406,Kay Felder\feldeka01,TOR,$1512601,,
407,Isaiah Canaan\canaais01,PHO,$1512601,,
408,Troy Williams\willitr02,NOP,$1512601,$1645357,
409,Sviatoslav Mykhailiuk\mykhasv01,LAL,$1487694,$1416852,$1663861
410,Mitchell Robinson\robinmi01,NYK,$1485440,$1559712,$1663861
411,Isaiah Briscoe\briscis01,ORL,$1416852,$1663861,$838464
412,Jordan Bell\belljo01,GSW,$1378252,,
413,Frank Jackson\jacksfr01,NOP,$1378242,$1618520,
414,Thomas Bryant\bryanth01,WAS,$1378242,,
415,Frank Mason\masonfr01,SAC,$1378242,$1618520,
416,Davon Reed\reedda01,PHO,$1378242,$1618520,
417,Khem Birch\birchkh01,ORL,$1378242,,
418,Wesley Iwundu\iwundwe01,ORL,$1378242,$1618520,
419,Abdel Nader\naderab01,OKC,$1378242,$1618520,$1752950
420,Damyean Dotson\dotsoda01,NYK,$1378242,$1618520,
421,Sterling Brown\brownst02,MIL,$1378242,$1618520,
422,Rade Zagorac\zagorra01,MEM,$1378242,,
423,Ivan Rabb\rabbiv01,MEM,$1378242,$1618520,
424,Dillon Brooks\brookdi01,MEM,$1378242,$1618520,
425,Sindarius Thornwell\thornsi01,LAC,$1378242,$1618520,
426,Jawun Evans\evansja01,LAC,$1378242,$1618520,
427,Ike Anigbogu\anigbik01,IND,$1378242,$1618520,
428,Maxi Kleber\klebima01,DAL,$1378242,,
429,Dwayne Bacon\bacondw01,CHO,$1378242,$1618520,
430,Semi Ojeleye\ojelese01,BOS,$1378242,$1618520,$1752950
431,Daniel Theis\theisda01,BOS,$1378242,,
432,Tyler Dorsey\dorsety01,ATL,$1378242,,
433,Shaquille Harrison\harrish01,PHO,$1378242,,
434,Royce O'Neale\onealro01,UTA,$1378242,$1618520,
435,Zhou Qi\qizh01,HOU,$1378242,$1618520,$1752950
436,Antonius Cleveland\clevean01,CHI,$1378242,,
437,Kevin Martin\martike02,MIN,$1360304,,
438,Monte Morris\morrimo01,DEN,$1349383,$1588231,$1663861
439,Antonio Blakeney\blakean01,CHI,$1349383,$1588231,
440,Jabari Bird\birdja01,BOS,$1349383,$1588231,
441,Daniel Hamilton\hamilda02,ATL,$1349383,,
442,James Nunnally\nunnaja01,MIN,$1349383,$1588231,
443,Ryan Arcidiacono\arcidry01,CHI,$1349383,,
444,Shabazz Muhammad\muhamsh01,MIN,$1238616,,
445,Élie Okobo\okoboel01,PHO,$1238464,$1416852,$1663861
446,Jalen Brunson\brunsja01,DAL,$1230000,$1416582,$1663861
447,Melvin Frazier\frazime01,ORL,$1050000,$1416852,$1663861
448,Isaac Bonga\bongais01,LAL,$1000000,$1663861,$1416852
449,Justin Hamilton\hamilju01,TOR,$1000000,$1000000,
450,Shelvin Mack\macksh01,ORL,$1000000,,
451,Kyle Singler\singlky01,OKC,$999200,$999200,$999200
452,Devonte' Graham\grahade01,CHO,$988464,$1416852,$1663861
453,Jason Thompson\thompja02,GSW,$945126,,
454,Gary Trent\trentga02,POR,$838464,$1416852,$1663861
455,Hamidou Diallo\diallha01,OKC,$838464,$1416852,$1663861
456,Keita Bates-Diop\bateske01,MIN,$838464,$1416852,$1663861
457,Jevon Carter\carteje01,MEM,$838464,$1416852,
458,Bruce Brown\brownbr01,DET,$838464,$1416852,$1663861
459,Jarred Vanderbilt\vandeja01,DEN,$838464,$1663861,$1416852
460,Ray Spalding\spaldra01,DAL,$838464,$1416852,$1663861
461,Khyri Thomas\thomakh01,DET,$838464,$838464,$1663861
462,Alize Johnson\johnsal02,IND,$838464,$1416852,
463,Isaiah Hartenstein\harteis01,HOU,$838464,$1416852,$1663861
464,Ryan Broekhoff\broekry01,DAL,$838464,$1443842,
465,Brad Wanamaker\wanambr01,BOS,$838464,,
466,Garlon Green\greenga02,NOP,$838464,$1416852,
467,Kenrich Williams\willike04,NOP,$838464,$1416852,
468,Joel Berry\berryjo01,LAL,$838464,,
469,Ding Yanyuhang\yanyudi01,DAL,$838464,,
470,Martell Webster\webstma02,WAS,$833333,,
471,Cole Aldrich\aldrico01,MIN,$685341,$685340,$685340
472,Carlos Delfino\delfica01,LAC,$650000,,
473,Caron Butler\butleca01,SAC,$517219,,
474,Dakari Johnson\johnsda04,MEM,$459414,$459414,$459414
475,A.J. Hammons\hammoaj01,MIA,$350088,$350087,$350087
476,Festus Ezeli\ezelife01,POR,$333333,$333333,
477,C.J. Watson\watsocj01,ORL,$333333,$333333,
478,Miroslav Raduljica\radulmi01,LAC,$252042,,
479,Troy Williams\willitr02,HOU,$122741,$122741,$122741
480,Demetrius Jackson\jacksde01,BOS,$92857,$92857,$92857
